Llave,Valor,Image Name
"Cefalexina
Cápsulas","<b> Formulación </b>
500 mg.

<b> Clase </b>
Cefalosporina antibiótico.

<b> Indicaciones </b>
Infecciones bacterianas:
Primera línea de pielonefritis en el embarazo.
segunda línea de ITU.

<b> Dosificación </b>
500 mg 2-3 veces al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Evitar las cefalosporinas si alergia a la penicilina grave.
",
"Ciprofloxacina
Tabletas","<b> Formulación </b>
500 mg.

<b> Clase </b>
antibiótico de fluoroquinolona.

<b> Indicaciones </b>
Infecciones bacterianas:
Primera línea de la disentería bacteriana,
Primera línea para pacientes no embarazadas pielonefritis.

<b> Dosificación </b>
500 mg 3 veces al día.
 
3 días para la disentería bacilar.
 
7 días para la pielonefritis.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Puede causar la ruptura tendinitis / tendón.
umbral convulsivo disminuido.
",
"Clindamicina
Tabletas","<b> Formulación </b>
150 mg.

<b> Clase </b>
antibiótico Lincosamida.

<b> Indicaciones </b>
Infecciones bacterianas.
Segunda línea para la celulitis,
primera línea para los abscesos y úlceras cutáneas infectadas.

<b> Dosificación </b>
150 mg - 300 mg 4 veces al día, 10-14 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
colitis asociada a antibióticos.
",
"Cloxacilina
Cápsulas","<b> Formulación </b>
500 mg.

<b> Clase </b>
Beta-lactama de antibióticos.
(Narrow espectro - gram + ve).
Infecciones de la piel: primera línea para la celulitis.
impétigo amplia difusión.

<b> Dosificación </b>
adultos:
250 - 500 mg 4 veces al día.

Niños:
12,5 - 25 mg / kg (máximo 500 mg) 4 veces al día.

El impétigo 5-7 días.
La celulitis 10-14 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
alergia a la penicilina.
",
"Cotrimoxazol
(Trimetoprim Y Sulfametoxazol)
100 Ml Para Sus Oral. Botella","<b> Formulación </b>
200 mg / 40 mg / 5 ml.

<b> Clase </b>
Sulfonamida antibiótico.

<b> Indicaciones </b>
Infecciones bacterianas:
La sepsis de origen desconocido.
disentería bacilar en los niños.

<b> Dosificación </b>
6 semanas - 5 meses:
120 mg dos veces al día o 24 mg / kg dos veces al día.
 
6 meses - 5 años
240 mg dos veces al día o 24 mg / kg dos veces al día.
 
Niños 6-11 años:
480 mg dos veces al día o 24 mg / kg dos veces al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Insuficiencia renal.
Puede causar agranulocitosis.
",
"Cotrimoxazol
(Trimetoprim Y Sulfametoxazol)
Tabletas","<b> Formulación </b>
800 mg / 160 mg.

<b> Clase </b>
Sulfonamida antibiótico.

<b> Indicación </b>
Infecciones bacterianas:
La sepsis de origen desconocido - etapa oral de abajo.

<b> Dosificación </b>
960 mg tres veces al día, los 7 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Insuficiencia renal.
Puede causar agranulocitosis.
",
"Ciclobenzaprina Hcl
Tabletas","<b> Formulación </b>
10 mg.

<b> Clase </b>
Relajante muscular.

<b> Indicación </b>
, espasmos musculares agudas graves.

<b> Dosificación </b>
5 mg tres veces al día (10 mg máximo tres veces al día).

<b> precauciones, efectos secundarios, contraindicaciones </b>
Causará somnolencia.
",
"Diciclomina
Tabletas","<b> Formulación </b>
10mg

<b> Clase </b>
Antiespasmódico / antimuscarínico

<b> Indicaciones </b>
Intestino / vejiga / espasmos biliares.

<b> Dosificación </b>
20 mg según sea necesario hasta 4 veces al día durante 3-5 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
efectos secundarios antimuscarínicos, no utilice si el paciente tiene glaucoma o la obstrucción intestinal es un diferencial.
Debe evitarse en la ERGE y el estreñimiento.
",
"Difenhidramina Hcl, Tabletas","<b> Formulación </b>
25 mg.

<b> Clase </b>
Antihistamínicos (somnolencia).
Reacciones alérgicas.
Insomnio.

<b> Dosis </b>
25 - 50 mg 3 veces al día.
50 mg 30 minutos antes de dormir.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Causará somnolencia.
",
"Hcl De Difenhidramina,
Líquido","<b> clase </b>
Antihistamínicos (somnolencia).

<b> Indicación </b>
reacciones alérgicas en niños pequeños.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Causará somnolencia.
",
Docusato Sódico Cápsulas,"<b> Formulación </b>
100 mg.

<b> Clase </b>
Ablandador fecal.

<b> Indicación </b>
Estreñimiento.

<b> Dosificación </b>
Niños> 11 años y adultos:
Hasta 500 mg / día en dosis divididas.
 
",
"Doxiciclina
Tabletas","<b> Formulación </b>
100 mg.

<b> Clase </b>
antibiótico de tetraciclina.

<b> Indicaciones </b>
Infecciones bacterianas.
Enfermedad inflamatoria pélvica,
Infecciosa Las exacerbaciones de la EPOC y el asma,
Enfermedad de Lyme,
acné.

<b> Dosificación </b>
PID:
100 mg dos veces al día durante 14 días.
 
IE EPOC y el asma:
200 mg día 1, día de 100 mg de 2-5.
 
Enfermedad de Lyme:
100 mg una vez al día durante 10-14 días (28 días para la artritis de Lyme).

<b> precauciones, efectos secundarios, contraindicaciones </b>
Niños.
El embarazo.
Provoca fotosensibilidad.
",
"Enalapril
Tabletas","<b> Formulación </b>
10 mg.

<b> Clase </b>
inhibidor de la ECA.

<b> Indicaciones </b>
Hipertensión.
10 mg por la noche. Dosis máxima en nuestro contexto 20 mg una vez al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Lesión renal aguda.
El embarazo.
",
13.3 Oral Medicamentos F - N,,
"Glucosa De Acción Rápida, Comprimidos.","<b> Formulación </b>
4 mg.

<b> Clase </b>
suplemento de glucosa.

<b> Indicación </b>
Las crisis hipoglucémicas.

<b> Dosificación </b>
10 - glucosa 12 g (2.5-3 comprimidos) que se da en respuesta a la hipoglucemia.
Repetir después de 10 - 15 minutos si es necesario.
",
Férreos Comprimidos De Sulfato,"<b> Formulación </b>
200 mg (= 65 mg de hierro).

<b> Clase </b>
suplemento de hierro o sustitución.

<b> Indicación </b>
Anemia por deficiencia de hierro.

<b> Dosificación </b>
200 mg 2-3 veces por día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Estreñimiento.
",
"Fluconazol
Tabletas","<b> Formulación </b>
150 mg.

<b> Clase </b>
antifúngico imidazol.

<b> Indicaciones </b>
Infecciones fúngicas.

<b> Dosificación </b>
La candidiasis vaginal:
150 mg una vez.
 
La candidiasis vulvovaginal:
De 150 mg / 72 horas para 3 dosis a continuación, 150 mg por semana durante 6 meses.
 
candidiasis orofaríngea:
50 mg al día durante 10 - 14 días.
 
candidiasis esofágica:
50-100mg 14 - 30 días.
 
Las infecciones de tiña:
50 mg una vez al día durante 2 - 4 semanas.

<b> precauciones, efectos secundarios, contraindicaciones </b>
El embarazo.
Hepatotoxicidad.
prolongación del intervalo QT.
Insuficiencia renal.
",
"Furosemide
Tabletas","<b> Formulación </b>
40mg.

<b> Clase </b>
Diurético de asa.


<b> Indicación </b>
La insuficiencia cardíaca, condiciones que causan edema pulmonar y periférico (insuficiencia cardíaca / insuficiencia renal / insuficiencia hepática).

<b> Dosis </b>
Dependiendo de la situación clínica (Orina presión de salida / sangre) por lo general 20-40 mg dos veces al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Las dosis más altas suelen ser necesarios en la insuficiencia renal.
Hipotensión.
Puede causar la deshidratación y la lesión renal aguda.",
"Glibenclamida
Tabletas","<b> Formulación </b>
5 mg.

<b> Clase </b>
antidiabético de sulfonilurea.

<b> Indicación </b>
Diabetes mellitus tipo 2.

<b> Dosis </b>
Inicialmente 5 mg al día,
ajustada según la respuesta,
la dosis que tomarse con o inmediatamente después del desayuno;
máximo 15 mg por día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
El embarazo.
Insuficiencia renal.
Puede causar hipoglucemia (por lo general dependiente de la dosis y muy refractaria - necesita tratamiento hospitalario).


",
"Griseofulvina
Tabletas","<b> Formulación </b>
125 mg, 500 mg

<b> Clase </b>
Tubulina inhibiendo antifúngico.

<b> Indicación </b>
infecciones por hongos dermatofitos con el tratamiento tópico fallado.

<b> Dosis </b>
Niños <12:
10 mg / kg (500 mg max) una vez al día durante 4-6 semanas.

Niños> 11 y Adultos:
500 mg al día, el aumento, si es necesario a 1 g al día, para las infecciones graves; reducir la dosis cuando se produce la respuesta, la dosis diaria puede ser tomado una vez al día o en dosis divididas.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Debe evitarse en el embarazo y la lactancia.
 
La anticoncepción necesaria para un menos 1 mes después de la administración a mujeres en edad fértil.
",
"Ibuprofeno
Jarabe, Botella De 150 Ml.","<b> Formulación </b>
100 mg / 5 ml

<b> Clase </b>
AINE

<b> Indicación </b>
Fiebre.
El dolor causado por proceso inflamatorio.

<b> Dosis </b>
12 meses
5 mg / kg cada 8 horas.
> 2 meses
De 5 - 10 mg / kg cada 8 horas.

<b> precauciones, efectos secundarios, contraindicaciones </b>
No ceder enfermedades febriles con erupción cutánea (puede causar una reacción grave con varicela).

",
"Ibuprofeno, Tabletas.","<b> Formulación </b>
200 mg.

<b> Clase </b>
AINE

<b> Indicación </b>
El dolor causado por proceso inflamatorio.
Migraña.

<b> Dosis </b>
200 mg - 400 mg 3 veces al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Sólo el uso a corto plazo!
Insuficiencia renal.
ERGE.
Pacientes de edad avanzada.
Los pacientes con enfermedad cardiovascular.
Asma / EPOC

.
",
"Ivermectin
Tabletas","<b> Formulación </b>
6 mg.

<b> Clase </b>
Vermífugo.

<b> Indicación </b>
Sarna, piojos, infección por Strongyloides.

<b> Dosis </b>
La sarna y los piojos de la cabeza:
200 mg / kg una vez al día 1 y una vez día 7.
Strongyloides:
200 mg / kg durante 3 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Debe evitarse en niños menores de 15 kg.
Debe evitarse en el embarazo y la lactancia.


",
"Labetalol
Tabletas","<b> Formulación </b>
100 mg

<b> Clase </b>
Bloqueador beta.

<b> Indicación </b>
La hipertensión en el embarazo preeclampsia.

<b> Dosis </b>
100 mg dos veces al día hasta que opinión obstétrica.
Si la hipertensión severa dan dosis única de 200 mg y traslado al hospital.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Peri. enfermedad vascular.
Asma.
Bradicardia.
Hipotensión.



",
"Loratadina
Tabletas","<b> Formulación </b>
10 mg.

<b> Clase </b>
Antihistamínicos (sin somnolencia)

<b> Indicación </b>
Reacciones alérgicas.

<b> Dosis </b>
Más de 31kg: 10 mg 1 vez / día.
0ver 2 años, bajo 31kg: 1x 5 mg / día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Todavía se puede producir somnolencia.


",
"Clorhidrato De Metformina
Tabletas","<b> Formulación </b>
1000mg

<b> Clase </b>
Biguanida.

<b> Indicación </b>
Primera línea en la diabetes mellitus tipo 2.

<b> Dosis </b>
1x 500 mg / día y aumentar a 1000 mg 1 vez / día después de una semana.
A continuación, aumentar a 1000 mg 2 veces / día después de 3 meses si mal control.
A continuación, aumentar a 850 mg 3 veces / día después de 3 meses si sigue por el control.

<b> precauciones, efectos secundarios, contraindicaciones </b>
No utilizar en satge IV / insuficiencia renal V (eGFR <30 ml).
",
La Metoclopramida Aquí,"<b> Formulación </b>
5 mg.

<b> Clase </b>
Antiemético

<b> Indicación </b>
Náuseas y vómitos.
Segunda línea en hiperemesis gravídica

<b> Dosis </b>
10 mg 3 veces al día según sea necesario.
utilice únicamente durante 5 días en el embarazo.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Debe evitarse en niños y ancianos (crisis oculógira).


",
"Metoprolol
Tabletas","<b> Formulación </b>
50mg

<b> Clase </b>
Bloqueador beta.

<b> Indicación </b>
Hipertensión.

<b> Dosis </b>
50 mg una vez al día.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Peri. enfermedad vascular.
Asma.
Bradicardia.
Hipotensión.",
"Metronidazol, Powd.Fr Sus Oral De 100 Ml Seco., Botella.","<b> Formulación </b>
125 mg / 5 ml.

<b> Clase </b>
Nitro-imidazol antibiótico y antiprotozoarios.

<b> Indicación </b>
Giardia, la disentería amebiana, o amebiasis extra-intestinales en niños.

<b> Dosis </b>
1-2 años
200 mg 3 veces al día (Amoebe),
500 mg una vez al día (Giardia).

3-6 años
200 mg 4 veces al día (Amoebe),
600 mg una vez al día (Giardia).

7-9 años
400 mg 3 veces al día (Amoebe),
1 g una vez al día (Giardia).

10-17 años
800 mg 3 veces al día (Amoebe),
2 g una vez al día (Giardia).

La disentería amebiana 5 días,
infección amebiana extraintestinales 5 a 10 días
Giardiasis 3 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>



 



",
"Metronidazole
Tabletas","<b> Formulación </b>
250 mg.

<b> Clase </b>
Nitro-imidazol antibiótico y antiprotozoarios.

<b> Indicación </b>
Bacterianas y las infecciones por protozoos:
H. pylori.
Disentería amebiana.
úlceras en la piel infectada.

<b> Dosis </b>
H. pylori:
500 mg TDS de 14 días (con PPI y segundo antibiótico).

amebas:
800 mg tres veces al día, 5 días intestinales,
5-10 días extra-intestinal.

Giardia:
2 g una vez al día durante 3 días.

úlceras de la piel:
500 mg TDS 5 - 7 días.

<b> precauciones, efectos secundarios, contraindicaciones </b>
Evitar en caso de consumo de alcohol.
Evitar dosis altas en el embarazo.
Debe evitarse en la lactancia materna.
",
